Region,2012_Average_Commute_Time_Min,2013_Average_Commute_Time_Min,2014_Average_Commute_Time_Min,2015_Average_Commute_Time_Min,2016_Average_Commute_Time_Min,2017_Average_Commute_Time_Min,2018_Average_Commute_Time_Min,2019_Average_Commute_Time_Min,2020_Average_Commute_Time_Min,2021_Average_Commute_Time_Min,2022_Average_Commute_Time_Min,2023_Average_Commute_Time_Min,2024_Average_Commute_Time_Min
종로구,-,-,-,-,35.4,31.8,30.8,32.17,33.92,35.3,33.77,31.24,31.14
중구,32.8,35.2,31.6,37.4,34.1,30.4,32.5,35.82,35.44,39.3,31.45,37.5,30.23
용산구,32.1,31.8,30.5,39.3,34.1,35,32.4,32.86,33.87,35,29.89,29.94,32.04
성동구,33.4,32.5,33.6,34.5,31.1,31.8,30.7,34.61,35.58,34.2,39.39,35.2,34.37
광진구,33.8,34.4,33.6,35.6,33.1,33.6,32.7,35.59,33.07,35.1,32.89,33.9,33.13
동대문구,35.4,32.8,33.6,35.9,32.6,29.4,33.4,32.94,34.4,33.3,31.6,32.69,28.39
중랑구,34.4,33.6,33.6,36.4,33.7,32.4,35.6,37.09,38.66,36.7,35.81,35.98,30.85
성북구,34,35.9,33.6,35.2,33,31,36.2,33.85,37.28,39.2,34.44,38.25,31.33
강북구,35.6,37.2,33.6,34.3,34.1,33.3,37.9,35.22,35.83,42.3,35.84,37.66,32.75
도봉구,35.9,34.7,33.6,37.2,34.6,34.2,36.8,35.82,37.57,40.5,37.49,33.53,31.28
노원구,34.1,32.3,33.6,37,34.9,32.1,39.1,35.93,37.85,41.6,30.39,33.21,40.27
은평구,32.7,33.9,33.6,35,32.1,34.6,36.2,35.96,38.16,38.8,32.99,32.29,33.96
서대문구,33.5,32.7,33.6,39.3,33.8,33,35.9,34.36,37.04,33.5,31,30.47,27.85
마포구,33.2,33.6,33.6,35.5,33,33,31.4,32.3,33.51,34.1,32.97,31.18,29.84
양천구,35.5,37,33.6,36.3,38,43.1,40.5,40.7,40.98,42.8,41.8,39.58,34.28
강서구,34.5,39.6,33.6,35.8,31.6,37.1,35.3,35.36,36.33,37.7,35.34,35.54,35.62
구로구,34.3,34.9,33.6,35.1,33.3,36,31.3,35.42,36.61,38,30.85,34.41,30.75
금천구,33.4,36.8,33.6,36.7,33,32.6,33.9,35.55,36.44,38.2,37.81,35.59,41.77
영등포구,32.1,29,33.6,34.9,32.3,35.3,33.1,32.14,38.48,39.8,33.81,41.44,40.91
동작구,36.8,39.4,33.6,35.6,31.9,30.5,39.1,31.79,37.02,37.5,32.47,32.48,34.29
관악구,33.5,33.6,33.6,34.3,32.1,33.8,34.2,36.54,38.07,36.6,34.37,36.39,32.59
서초구,35.9,38.4,33.6,34.3,33.1,32.6,31.8,32.18,33.68,33.5,26.26,30.56,31.08
강남구,33.7,35,33.6,35.9,33.3,32,33.2,31.75,37.25,34.8,27.96,33.94,32.68
송파구,37,36.4,33.6,34.8,33.4,31.8,34.1,35.68,36.75,38.1,34.13,36.14,37.19
강동구,37.1,34.6,33.6,36.5,32.9,33,32.2,35.21,34.15,38.1,28.76,31.51,32.36