Region,2015_Avg_Score,2016_Avg_Score,2017_Avg_Score,2018_Avg_Score,2019_Avg_Score,2020_Avg_Score,2021_Avg_Score,2022_Avg_Score,2023_Avg_Score,2024_Avg_Score
종로구,5.33,6.02,6.07,6.01,6.14,5.46,5.66,6.23,6.05,7.1
중구,5.69,5.98,6.26,5.83,6.45,5.9,6.11,6.29,6.23,6.27
용산구,5.23,5.86,5.6,6.01,5.77,5.55,5.64,6.24,6.19,6.4
성동구,6.49,5.88,6.08,6.1,5.94,6.02,5.68,6.4,6.55,6.52
광진구,5.76,5.98,5.96,5.82,6.14,5.78,5.79,5.72,6.22,6.6
동대문구,5.64,5.72,5.47,5.9,6,5.98,5.75,6.24,6.07,6.55
중랑구,5.28,6.13,5.76,5.58,6.24,5.72,5.54,6.06,5.9,6.35
성북구,5.78,5.9,5.87,6.43,5.49,5.96,5.78,6.23,6.56,6.28
강북구,6.31,6.05,6.36,5.66,5.51,5.34,5.89,6.21,5.89,5.72
도봉구,5.12,5.87,6.32,6.04,6.3,5.95,5.48,6.29,6.15,6.32
노원구,5.45,5.6,5.8,5.8,6.06,5.81,5.9,6.34,6,6.23
은평구,6.01,5.77,5.55,5.81,5.58,5.81,5.74,6.25,6.18,6.08
서대문구,6.26,5.83,5.71,5.87,6.63,6.03,5.91,6.56,6.07,6.74
마포구,5.5,5.83,5.89,6.37,6.11,5.85,5.97,6.09,6.17,6.19
양천구,5.54,6.3,6.63,6.78,6.13,5.82,5.58,5.4,5.78,6.1
강서구,5.29,6.14,6.39,5.58,5.95,5.95,5.69,6.51,6.51,6.34
구로구,6.03,5.96,5.72,5.56,5.68,5.97,5.57,5.75,6.17,6.16
금천구,5.37,5.91,5.31,6.46,6.28,5.59,5.55,5.91,6.31,6.36
영등포구,5.39,5.9,6.74,6.88,6.08,5.9,5.65,5.34,5.05,6.09
동작구,5.44,5.71,6.33,6.01,5.37,5.75,5.74,6.55,6.35,6.06
관악구,5.38,5.58,6.02,6.39,6.39,5.91,5.99,6.12,6.29,6.73
서초구,5.25,6,6.45,6.1,6.01,6.13,6.04,6.52,6.33,6.78
강남구,6.24,5.91,6.23,6.03,6.16,6.12,5.95,6.58,6.33,6.45
송파구,6.13,6.06,5.8,6.18,6.15,5.86,5.87,6.36,6.26,6.7
강동구,6.18,6.14,5.75,5.6,5.92,5.74,5.58,6.12,6.15,5.88